"lon","lat","city_state"
-123.1007066,47.2150945,"Shelton, WA"
-122.8670454,45.4942838,"Aloha, OR"
-97.330053,37.6871761,"Wichita, KS"
-122.4194155,37.7749295,"San Francisco, CA"
-104.6921874,40.3763701,"Evans, CO"
-97.4253185,35.878937,"Guthrie, OK"
-111.8412502,33.3061605,"Chandler, AZ"
-97.6044806,38.6802826,"Assaria, KS"
-91.1128901,40.8076529,"Burlington, IA"
-77.4388719,41.9572933,"Knoxville, PA"
-121.2907796,37.9577016,"Stockton, CA"
-95.3596617,28.9541368,"Freeport, TX"
-82.9987942,39.9611755,"Columbus, OH"
-93.6091064,41.6005448,"Des Moines, IA"
-90.0715323,29.9510658,"New Orleans, LA"
-108.3015173,45.899401,"Huntley, MT"
-111.8910474,40.7607793,"Salt Lake City, UT"
-92.3566861,33.1073435,"Strong, AR"
-112.0646657,41.0893878,"Syracuse, UT"
-91.9690284,34.5442609,"England, AR"
-106.4850217,31.7618778,"El Paso, TX"
-88.3064367,39.684755,"Arcola, IL"
-118.2120161,33.954737,"South Gate, CA"
-115.1175013,36.1988592,"North Las Vegas, NV"
-106.6055534,35.0853336,"Albuquerque, NM"
-98.5464068,28.9180294,"Jourdanton, TX"
-93.0899578,44.9537029,"St. Paul, MN"
-91.135302,38.3953601,"Franklin County, MO"
-76.2874927,36.7682088,"Chesapeake, VA"
-74.307282,40.4128551,"Old Bridge, NJ"
-95.4343859,29.0338575,"Lake Jackson, TX"
-111.8638226,40.5246711,"Draper, UT"
-86.158068,39.768403,"Indianapolis, IN"
-104.8319195,39.7294319,"Aurora, CO"
-93.2982799,44.840798,"Bloomington, MN"
-122.0399663,38.2493581,"Fairfield, CA"
-92.3813621,30.7821781,"Evangeline Parish, LA"
-96.1008056,32.3665322,"Mabank, TX"
-121.9885719,37.5482697,"Fremont, CA"
-95.3696909,35.7478769,"Muskogee, OK"
-118.2436849,34.0522342,"Los Angeles, CA"
-97.3307658,32.7554883,"Fort Worth, TX"
-112.0476423,33.0581063,"Maricopa, AZ"
-82.9259979,37.547597,"Gunlock, KY"
-70.9410356,42.2180724,"Weymouth, MA"
-111.9260519,33.4941704,"Scottsdale, AZ"
-116.9719684,33.7475203,"Hemet, CA"
-99.154991,26.534403,"Chapeno, TX"
