state white black native_amarican asian hawaiian/pacific_islander other multi_race hispanic
AL 71.4 21.9 0.7 0.5 0.0 0.1 1.2 4.3
AK 63.9 1.3 20.9 3.4 0.4 0.1 5.9 4.1
AZ 57.5 1.9 14.1 1.0 0.2 0.1 1.6 23.5
AR 78.9 13.9 0.6 0.6 0.0 0.0 1.4 4.5
CA 54.4 2.6 1.5 2.5 0.2 0.2 2.2 36.4
CO 76.7 1.0 1.2 0.8 0.1 0.1 1.3 18.9
CT 84.6 2.5 0.2 2.3 0.0 0.1 1.6 8.6
DE 74.1 13.8 0.5 1.0 0.0 0.2 1.7 8.8
FL 69.5 12.9 0.5 0.9 0.0 0.1 1.3 14.7
GA 66.3 25.8 0.2 0.8 0.0 0.1 1.2 5.7
HI 31.1 0.5 0.3 24.9 10.9 0.1 21.5 10.5
ID 83.0 0.4 1.7 0.9 0.1 0.1 1.5 12.4
IL 90.8 3.6 0.2 0.6 0.0 0.1 1.1 3.6
IN 93.3 1.3 0.2 0.5 0.0 0.1 1.0 3.6
IO 92.8 1.0 0.3 0.7 0.0 0.0 0.9 4.3
KS 83.3 2.8 0.8 1.1 0.1 0.1 2.0 9.9
KY 92.2 3.9 0.2 0.4 0.0 0.1 1.2 2.0
LA 63.2 31.0 1.0 0.7 0.0 0.1 1.3 2.7
ME 95.5 0.5 0.8 0.7 0.0 0.1 1.3 1.1
MD 78.4 14.7 0.2 1.3 0.0 0.1 1.8 3.4
MA 87.5 2.6 0.3 2.8 0.0 0.5 2.0 4.3
MI 91.2 2.1 1.4 0.6 0.0 0.0 1.6 3.0
MN 91.1 1.0 2.0 0.8 0.0 0.0 1.3 3.7
MS 56.7 39.2 0.6 0.4 0.0 0.0 0.8 2.2
MO 91.4 3.1 0.5 0.6 0.1 0.0 1.5 2.8
MT 87.7 0.2 7.0 0.5 0.0 0.0 2.0 2.5
NE 87.8 0.6 1.2 0.5 0.0 0.1 0.9 8.9
NV 74.3 2.0 3.3 1.9 0.2 0.1 2.1 16.1
NH 94.9 0.6 0.3 1.4 0.0 0.1 1.3 1.4
NJ 59.4 18.2 0.6 1.5 0.1 0.1 2.2 18.0
NM 38.6 1.5 15.0 0.7 0.0 0.2 1.3 42.7
NY 89.6 3.1 0.6 0.9 0.0 0.1 1.4 4.2
NC 67.7 20.4 2.6 0.7 0.0 0.1 1.3 7.1
ND 87.9 0.7 7.3 0.5 0.0 0.0 1.4 2.0
OH 93.3 2.2 0.2 0.6 0.0 0.1 1.4 2.2
OK 71.4 3.5 12.2 0.7 0.1 0.1 5.5 6.6
OR 83.8 0.4 2.0 0.9 0.2 0.1 2.5 10.1
PA 92.3 2.9 0.1 0.7 0.0 0.1 1.0 2.9
RI 91.6 0.9 0.6 2.4 0.0 0.1 1.6 2.9
SC 56.5 36.4 0.4 0.7 0.0 0.1 1.1 4.7
SD 84.0 0.5 11.1 0.7 0.0 0.0 1.5 2.1
TN 88.1 6.7 0.3 0.5 0.0 0.1 1.3 3.0
TX 58.4 7.7 0.4 0.6 0.1 0.1 1.0 31.8
UT 85.9 0.4 2.9 0.7 0.2 0.1 1.3 8.5
VT 95.3 0.6 0.4 0.8 0.0 0.1 1.5 1.4
VA 78.0 17.1 0.2 0.5 0.0 0.1 1.3 2.7
WA 75.3 0.9 2.6 1.6 0.2 0.1 2.5 16.9
WV 94.4 2.8 0.2 0.4 0.0 0.0 1.1 1.0
WI 93.0 0.7 1.4 0.8 0.0 0.0 1.0 3.1
WY 86.7 0.4 2.6 0.7 0.1 0.1 1.3 8.2
DC 0 0 0 0 0 0 0 0
